1994.07,121.84, 0.84,16525.86,14646.58,16363.45
1994.08,121.84, 0.84,17156.05,14856.03,16923.76
1994.09,121.84, 0.84,17417.96,15072.06,17178.84
1994.10,121.84, 0.84,17463.02,15292.02,17254.96
1994.11,121.84, 0.84,17520.79,15514.61,17341.81
1994.12,121.84, 0.84,17463.68,15737.69,17332.98
1995.01,124.89, 0.82,18015.76,15961.98,17825.24
1995.02,124.89, 0.82,18827.21,16182.70,18526.42
1995.03,124.89, 0.82,19432.72,16404.66,19059.13
1995.04,124.89, 0.82,20181.44,16625.99,19705.89
1995.05,124.89, 0.82,20980.84,16837.97,20389.42
1995.06,124.89, 0.82,21771.47,17049.95,21063.82
1995.07,124.89, 0.82,22667.51,17266.11,21820.79
1995.08,124.89, 0.82,22908.80,17481.44,22058.14
1995.09,124.89, 0.82,23884.02,17696.38,22874.87
1995.10,124.89, 0.82,24226.77,17910.11,23191.52
1995.11,124.89, 0.82,24922.26,18120.74,23784.29
1995.12,124.89, 0.82,25890.55,18329.81,24589.08
1996.01,128.01, 0.80,26061.01,18542.99,24772.20
1996.02,128.01, 0.80,27725.47,18765.31,26093.77
1996.03,128.01, 0.80,27798.39,18992.36,26207.85
1996.04,128.01, 0.80,27981.38,19226.08,26406.50
1996.05,128.01, 0.80,28767.40,19463.81,27061.44
1996.06,128.01, 0.80,29262.87,19700.75,27496.27
1996.07,128.01, 0.80,28376.01,19940.36,26892.55
1996.08,128.01, 0.80,29375.77,20183.77,27712.63
1996.09,128.01, 0.80,30097.76,20424.53,28319.88
1996.10,128.01, 0.80,31463.87,20660.46,29409.79
1996.11,128.01, 0.80,33179.18,20892.60,30754.39
1996.12,128.01, 0.80,33704.48,21132.54,31209.95
1997.01,131.21, 0.78,34932.12,21378.27,32170.29
1997.02,131.21, 0.78,36584.70,21626.27,33433.01
1997.03,131.21, 0.78,36488.39,21881.96,33444.38
1997.04,131.21, 0.78,35379.33,22135.61,32730.06
1997.05,131.21, 0.78,38767.04,22389.73,35251.12
1997.06,131.21, 0.78,40964.41,22642.26,36889.79
1997.07,131.21, 0.78,43442.40,22886.92,38710.08
1997.08,131.21, 0.78,43724.78,23139.03,38991.34
1997.09,131.21, 0.78,44376.79,23387.92,39528.42
1997.10,131.21, 0.78,45237.50,23632.77,40208.73
1997.11,131.21, 0.78,44848.56,23879.78,40022.67
1997.12,131.21, 0.78,46160.08,24125.30,41017.60
1998.01,134.49, 0.76,46404.14,24370.68,41271.34
1998.02,134.49, 0.76,49506.00,24619.39,43458.01
1998.03,134.49, 0.76,52267.74,24869.96,45394.45
1998.04,134.49, 0.76,54180.71,25125.06,46755.68
1998.05,134.49, 0.76,54195.63,25375.92,46863.72
1998.06,134.49, 0.76,54393.64,25625.58,47091.00
1998.07,134.49, 0.76,56955.81,25877.39,48874.57
1998.08,134.49, 0.76,53125.20,26120.74,46472.49
1998.09,134.49, 0.76,50661.13,26351.48,44920.49
1998.10,134.49, 0.76,51448.93,26587.05,45536.59
1998.11,134.49, 0.76,57223.11,26826.16,49507.69
1998.12,134.49, 0.76,59703.58,27064.78,51230.85
